קומות במבנה,"מחיר למ""ר",שנת בנייה,תאריך עסקה,כתובת,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,"מ""ר",מחיר
10,"8,963 ₪",1980,19/03/2025,קאודרס 13,10804-53-19,דירה בבית קומות,3,רביעית,82.55,"735,000 ₪"
1,"31,284 ₪",1970,19/03/2025,אילון 4,10781-15-9,דירה בבית קומות,5,שלישית,134,"4,192,000 ₪"
1,"33,962 ₪",1955,19/03/2025,החשמונאים 13,12319-14-3,דירה בבית קומות,3,קרקע,53.3,"1,800,000 ₪"
0,"25,984 ₪",2026,19/03/2025,ברל כצנלסון 71,11200-230-1,דירה בבית קומות,5,שניה,127,"3,300,000 ₪"
4,"23,061 ₪",1960,19/03/2025,"מח""ל 13",11567-620-6,דירה בבית קומות,3,שלישית,49,"1,130,000 ₪"
15,"5,992 ₪",2013,19/03/2025,אלמוג 18,12721-30-83,דירה בבית קומות,5,קומה 2,116.65,"699,000 ₪"
6,"20,484 ₪",1960,19/03/2025,דובנוב 7,11196-80-14,דירה בבית קומות,3,שלישית,62,"1,270,000 ₪"
2,"24,500 ₪",1970,19/03/2025,ליונל ווטסון 16,10797-35-1,דירה בבית קומות,4.5,קרקע,100,"2,450,000 ₪"
0,"22,857 ₪",2023,19/03/2025,אמציהו המלך 7,10751-13-101,דירה בבית קומות,4,שישית,84,"1,920,000 ₪"
3,"19,068 ₪",1970,19/03/2025,מצפה 1,10882-32-5,דירה בבית קומות,4,שלישית,83.65,"1,595,000 ₪"
4,"20,333 ₪",1970,18/03/2025,"ש""י עגנון 38",10913-32-13,דירה בבית קומות,3,שלישית,60.5,"1,220,000 ₪"
6,"17,672 ₪",1960,18/03/2025,סטלה מריס 26,10913-14-45,דירה בבית קומות,3,ראשונה,58.05,"1,025,000 ₪"
4,"11,278 ₪",1960,18/03/2025,הרב אריה לוין 14,10444-2436-62,דירה בבית קומות,1.5,רביעית,39.9,"450,000 ₪"
0,"16,000 ₪",2024,18/03/2025,יציאת אירופה 6,10906-203-22,דירה בבית קומות,4,קרקע,130,"2,080,000 ₪"
2,"15,487 ₪",1970,18/03/2025,דרך הים 137,12328-9-7,דירה בבית קומות,4,שניה,113.7,"1,750,000 ₪"
2,"20,000 ₪",1950,18/03/2025,אליהו גולומב 27,12245-9-3,דירה בבית קומות,3,ראשונה,53,"1,060,000 ₪"
4,"30,556 ₪",1960,18/03/2025,הלבנה 11,10749-92-61,דירה בבית קומות,2,שניה,45.4,"1,375,000 ₪"
4,"20,548 ₪",1960,18/03/2025,הבסטיליה 8,10906-325-3,דירה בבית קומות,3,שניה,73,"1,500,000 ₪"
2,"16,204 ₪",1970,18/03/2025,קרן היסוד 30,11190-22-5,דירה בבית קומות,4,שניה,108.6,"1,750,000 ₪"
2,"23,109 ₪",1980,18/03/2025,הצלפים 6,11191-117-7,דירה בבית קומות,5,רביעית,119,"2,750,000 ₪"
7,"18,689 ₪",1970,17/03/2025,תענך 28,11212-24-155,דירה בבית קומות,3,שביעית,61.01,"1,140,000 ₪"
0,"17,778 ₪",0,17/03/2025,ללא כתובת,10810-268-6,דירה בבית קומות,2,מרתף,49.5,"880,000 ₪"
6,"18,404 ₪",1970,17/03/2025,פאר 49,11720-11-17,דירה בבית קומות,2,ראשונה,47.75,"865,000 ₪"
3,"15,567 ₪",1980,17/03/2025,הראשונים 30,11575-72-5,דירה בבית קומות,4,שניה,97.34,"1,510,000 ₪"
3,"19,078 ₪",1960,17/03/2025,התיכון 5,12461-7-8,דירה בבית קומות,5,קומה 0,115,"2,194,000 ₪"
2,"31,237 ₪",1930,17/03/2025,הסנה 8,12326-8-4,דירה בבית קומות,3,גג,48.66,"1,520,000 ₪"
1,"31,667 ₪",1960,17/03/2025,בועז 15,10764-27-11,דירה בבית קומות,5,חמישית,135,"4,275,000 ₪"
,,,17/03/2025,אחווה 25,10917-76-51,דירה בבית קומות,3,ראשונה,49.2,"1,000,000 ₪"
4,"20,408 ₪",1960,17/03/2025,הגיבורים 25,12489-4-12,דירה בבית קומות,2,ראשונה,51.5,"1,070,000 ₪"
4,"20,408 ₪",1960,17/03/2025,אלברט איינשטיין 129,10798-17-11,דירת גג,4,חמישית,106.66,"2,150,000 ₪"
4,"20,408 ₪",1960,17/03/2025,פינת בן שמן 4,12453-14-8,דירה בבית קומות,2,שניה,50,"850,000 ₪"
4,"20,408 ₪",1960,17/03/2025,הפרחים 5,11192-288-13,דירה בבית קומות,3,שלישית,52,"450,000 ₪"
4,"20,408 ₪",1960,17/03/2025,נורית 16,12687-74-8,דירה בבית קומות,5,קומה 4,111.25,"1,675,000 ₪"
4,"20,408 ₪",1960,17/03/2025,פרויד 22,10785-67-11,דירה בבית קומות,5,שישית,102,"2,690,000 ₪"
4,"20,408 ₪",1960,16/03/2025,אמציהו המלך 3,10751-14-10,דירה בבית קומות,5,שניה,122,"2,400,000 ₪"
0,"23,568 ₪",0,16/03/2025,ללא כתובת,10914-72-3,דירה בבית קומות,5,שלישית,118,"2,781,000 ₪"
7,"25,455 ₪",1960,16/03/2025,סילבר אבא הלל 41,10881-15-46,דירה בבית קומות,1,שלישית,27.5,"700,000 ₪"
2,"46,324 ₪",2027,16/03/2025,זרובבל 23,10773-16-1,דירה בבית קומות,2,קרקע,50.73,"2,350,000 ₪"
0,"14,237 ₪",0,16/03/2025,ללא כתובת,10861-310-3,דירה בבית קומות,3,קרקע,59.69,"840,000 ₪"
9,"24,306 ₪",1998,16/03/2025,החשמונאים 31,10926-74-9,דירה בבית קומות,3,חמישית,72.65,"1,750,000 ₪"
4,"16,833 ₪",1960,16/03/2025,בן צבי יצחק 64,11586-121-7,דירה בבית קומות,3,רביעית,60.09,"1,010,000 ₪"
3,"13,306 ₪",1960,16/03/2025,"יל""ג 4",10864-144-10,דירה בבית קומות,2,שלישית,62.15,"825,000 ₪"
4,"30,120 ₪",1970,16/03/2025,"ויצ""ו 20",10762-26-8,דירה בבית קומות,5,רביעית,83.8,"2,500,000 ₪"
5,"20,721 ₪",2005,16/03/2025,תאשור 1,11189-224-6,דירה בבית קומות,5,קומה 2,111.18,"2,300,000 ₪"
12,"18,112 ₪",1960,14/03/2025,הנשיא 124,10807-39-67,דירה בבית קומות,3,שמינית,85.19,"1,543,000 ₪"
