קומות במבנה,שנת בנייה,תאריך עסקה,כתובת,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,"מ""ר",מחיר
3,1970,01/05/2022,בית אל 14,11113-6-6,דירה בבית קומות,4,שלישית,87.8,"1,380,000 ₪"
3,1970,10/04/2019,בית אל 14,11113-6-6,דירה בבית קומות,4,שלישית,87.8,"1,280,000 ₪"
1,1980,28/04/2022,הנשיא 5,11685-1-9,דירה בבית קומות,5,"קרקע, ראשונה, שניה",140.7,"2,500,000 ₪"
2,1960,28/04/2022,שומרון 1,11688-24-6,דירה בבית קומות,3,שניה,65.5,"1,450,000 ₪"
3,1960,27/04/2022,בית אל 13,11719-12-4,דירה בבית קומות,3,שניה,69.5,"1,718,700 ₪"
3,1960,מחיר,בית אל 13,11719-12-4,דירה בבית קומות,3,שניה,69.5,1
3,1960,35%,בית אל 13,11719-12-4,דירה בבית קומות,3,שניה,69.5,"601,545 ₪"
3,1960,2,בית אל 13,11719-12-4,דירה בבית קומות,3,שניה,69.5,64%
3,1960,"1,099,968 ₪",בית אל 13,11719-12-4,דירה בבית קומות,3,שניה,69.5,
3,1960,27/04/2022,התשבי 66,11690-7-10,דירה בבית קומות,2,שלישית,49.6,"1,075,000 ₪"
3,1960,09/01/2014,התשבי 66,11690-7-10,דירה בבית קומות,2,שלישית,49.6,"910,000 ₪"
1,1950,17/04/2022,הנשיא 72,11713-3-5,דירה בבית קומות,2,ראשונה,69,"1,400,000 ₪"
4,1950,14/04/2022,חורשה 7,11686-13-5,דירה בבית קומות,4,ראשונה,81.8,"1,790,000 ₪"
4,1950,23/10/2003,חורשה 7,11686-13-5,דירה בבית קומות,4,ראשונה,81.8,"946,000 ₪"
1,1950,13/04/2022,הנשיא 46,11686-27-2,דירה בבית קומות,3,קרקע,50,"1,450,000 ₪"
0,0,11/04/2022,ללא כתובת,10812-5-6,דירה בבית קומות,3,שלישית,58.41,"1,725,000 ₪"
2,1950,10/04/2022,עובדיה 21,12598-3-8,דירה בבית קומות,3,לא ידוע,55,"1,150,000 ₪"
2,1960,07/04/2022,התשבי 38,11688-30-3,דירה בבית קומות,3,קרקע,76.5,"1,660,000 ₪"
1,1960,30/03/2022,הנשיא 46,11686-28-3,דירה בבית קומות,2,ראשונה,50,"1,510,000 ₪"
2,1956,27/03/2022,בית אל 18,11113-2-3,דירה בבית קומות,6,"ראשונה,שניה,שלישית",151.55,"2,500,000 ₪"
2,1956,05/04/2012,בית אל 18,11113-2-3,דירה בבית קומות,6,"ראשונה,שניה,שלישית",151.55,"1,780,000 ₪"
2,1956,06/06/2007,בית אל 18,11113-2-3,דירה בבית קומות,6,"ראשונה,שניה,שלישית",151.55,"1,440,000 ₪"
1,1930,23/03/2022,שומרון 8,11718-18-7,דירה בבית קומות,5,קרקע,112,"3,450,000 ₪"
1,1930,02/02/2011,שומרון 8,11718-18-7,דירה בבית קומות,5,קרקע,112,"1,750,000 ₪"
3,1970,16/03/2022,בית אל 15,11719-16-4,דירה בבית קומות,4,שניה,91.35,"1,500,000 ₪"
2,1960,10/03/2022,התשבי 100,11713-12-1,דירה בבית קומות,3,קרקע,70,"1,400,000 ₪"
3,1962,09/03/2022,הנשיא 60,11687-15-11,דירת גן,5,ראשונה,85,"4,250,000 ₪"
3,1960,04/03/2022,הנשיא 2,11718-11-4,דירה בבית קומות,3,שניה,75.5,"1,360,000 ₪"
3,1960,20/03/2011,הנשיא 2,11718-11-4,דירה בבית קומות,3,שניה,75.5,"935,000 ₪"
5,1960,23/02/2022,בית אל 6,11113-10-1,דירה בבית קומות,4,ראשונה,76.21,"1,334,000 ₪"
5,1960,03/03/2016,בית אל 6,11113-10-1,דירה בבית קומות,4,ראשונה,76.21,"1,340,000 ₪"
5,1960,06/08/2013,בית אל 6,11113-10-1,דירה בבית קומות,4,ראשונה,76.21,"1,025,000 ₪"
5,1960,21/01/2013,בית אל 6,11113-10-1,דירה בבית קומות,4,ראשונה,76.21,"635,000 ₪"
0,0,16/02/2022,ללא כתובת,10812-5-2,דירה בבית קומות,4,קרקע+ראשונה,108.1,"2,150,000 ₪"
2,1960,16/02/2022,התשבי 2,11113-15-4,דירת גן,3,שניה,75,"1,525,000 ₪"
2,1943,10/02/2022,שומרון 3,11688-25-5,דירה בבית קומות,5,שניה,128.14,"1,900,000 ₪"
2,1943,16/06/2009,שומרון 3,11688-25-5,דירה בבית קומות,5,שניה,128.14,"1,340,000 ₪"
2,1943,20/07/2005,שומרון 3,11688-25-5,דירה בבית קומות,5,שניה,128.14,"1,028,000 ₪"
5,1970,08/02/2022,שונמית 20,12596-5-9,דירה בבית קומות,4,חמישית,92.48,"1,540,000 ₪"
5,1970,14/04/2015,שונמית 20,12596-5-9,דירה בבית קומות,4,חמישית,92.48,"1,152,000 ₪"
3,1970,01/02/2022,בית אל 24,11114-13-3,דירה בבית קומות,3,שניה,96.8,"1,390,000 ₪"
2,2021,30/01/2022,עובדיה 10,11719-21-4,דירה בבית קומות,5,חמישית,134,"2,400,000 ₪"
2,2021,29/01/2022,עובדיה 10,11719-21-3,לא ידוע,5,חמישית,124,"2,400,000 ₪"
2,1950,24/01/2022,הנשיא 70,11713-1-2,דירה בבית קומות,3,ראשונה,72.1,"540,000 ₪"
