קומות במבנה,שנת בנייה,תאריך עסקה,כתובת,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,"מ""ר",מחיר
4,1960,16/08/2005,אדמונד פלג 36,10804-4-34,דירה בבית קומות,4,ראשונה,66.33,"520,000 ₪"
17,2006,31/07/2005,טשרניחובסקי 43,10804-76-7,דירה בבית קומות,3,קומה 2,104.15,"891,000 ₪"
17,2006,10/07/2005,טשרניחובסקי 43,10804-76-7,דירה בבית קומות,3,קומה 2,104.15,"860,000 ₪"
17,2006,29/07/2005,טשרניחובסקי 43,10804-76-47,דירה בבית קומות,4,קומה 12,107,"960,000 ₪"
3,1970,30/06/2005,טשרניחובסקי 47,10804-24-5,דירה בבית קומות,4,שלישית,86.5,"741,000 ₪"
2,1975,09/06/2005,אביגדור המאירי 9,10802-113-11,דירה בבית קומות,5,ראשונה,112,"1,138,000 ₪"
2,1975,25/10/2001,אביגדור המאירי 9,10802-113-11,דירה בבית קומות,5,ראשונה,112,"1,163,000 ₪"
7,1970,13/04/2005,טשרניחובסקי 61,10804-88-16,דירה בבית קומות,3,שישית,73.97,"526,000 ₪"
4,1960,05/04/2005,אדמונד פלג 28,10804-3-20,דירה בבית קומות,4,שניה,66.33,"524,000 ₪"
5,1970,16/03/2005,טשרניחובסקי 57,10804-87-13,דירה בבית קומות,4,רביעית,67.1,"539,000 ₪"
4,1960,07/03/2005,אדמונד פלג 48,10804-5-16,דירה בבית קומות,3,רביעית,54.89,"454,000 ₪"
4,1960,14/07/1999,אדמונד פלג 48,10804-5-16,דירה בבית קומות,3,רביעית,54.89,"482,000 ₪"
17,2006,15/02/2005,טשרניחובסקי 43,10804-76-65,דירה בבית קומות,4,קומה 4,101.3,"1,268,000 ₪"
4,1960,14/02/2005,אדמונד פלג 42,10804-5-28,דירה בבית קומות,3,שניה,66.33,"535,000 ₪"
3,1960,13/02/2005,כל ישראל חברים 27,10803-18-36,דירה בבית קומות,3,שניה,45,"398,000 ₪"
17,2006,26/01/2005,טשרניחובסקי 43,10804-76-72,דירה בבית קומות,4,קומה 5,86.3,"1,158,000 ₪"
3,1960,23/01/2005,אמיל זולא 3,10803-53-3,דירה בבית קומות,3,ראשונה,53,"436,000 ₪"
2,1950,03/01/2005,אמיל זולא 24,10803-23-22,דירה בבית קומות,2,קרקע,50,"217,000 ₪"
4,1960,10/10/2004,אדמונד פלג 28,10804-3-19,דירה בבית קומות,4,שניה,66.23,"549,000 ₪"
5,1970,19/09/2004,טשרניחובסקי 57,10804-87-11,דירה בבית קומות,4,רביעית,67.1,"550,000 ₪"
10,1980,07/09/2004,קאודרס 17,10804-52-30,דירה בבית קומות,5,שביעית,111.43,"946,000 ₪"
2,1950,05/09/2004,אמיל זולא 14,10803-23-8,דירה בבית קומות,3,ראשונה,50,"469,000 ₪"
11,1987,24/08/2004,סטפן וייז 19,10804-40-15,דירה בבית קומות,5,חמישית,117.78,"1,040,000 ₪"
2,1960,17/08/2004,אמיל זולא 8,10803-24-24,דירה בבית קומות,2,קרקע,50,"453,000 ₪"
7,1960,02/08/2004,אדמונד פלג 14,10804-97-23,דירה בבית קומות,3,שניה,74.17,"559,000 ₪"
7,1960,17/05/1998,אדמונד פלג 14,10804-97-23,דירה בבית קומות,3,שניה,74.17,"513,000 ₪"
2,1960,21/06/2004,אמיל זולא 8,10803-24-7,דירה בבית קומות,3,ראשונה,56,"516,000 ₪"
7,1960,17/06/2004,אדמונד פלג 12,10804-97-17,דירה בבית קומות,3,ראשונה,75.62,"584,000 ₪"
7,1960,01/03/2001,אדמונד פלג 12,10804-97-17,דירה בבית קומות,3,ראשונה,75.62,"494,000 ₪"
2,1960,12/05/2004,אמיל זולא 8,10803-24-1,דירה בבית קומות,3,קרקע,56,"448,000 ₪"
7,1960,13/04/2004,אדמונד פלג 14,10804-97-3,דירה בבית קומות,4,ראשונה,74.71,"606,000 ₪"
4,1960,28/03/2004,אדמונד פלג 36,10804-4-32,דירה בבית קומות,4,רביעית,66.33,"492,000 ₪"
7,1970,24/03/2004,סטפן וייז 3,10804-38-72,דירה בבית קומות,4,ראשונה,97.01,"600,000 ₪"
4,1960,03/02/2004,אדמונד פלג 50,10804-6-3,לא ידוע,3,שלישית,52.39,"471,000 ₪"
7,1970,27/11/2003,טשרניחובסקי 61,10804-88-7,לא ידוע,4,רביעית,73.97,"578,000 ₪"
17,2006,12/10/2003,טשרניחובסקי 43,10804-76-24,דירה בבית קומות,4,קומה 6,83.5,"1,015,000 ₪"
1,1950,07/10/2003,רבנו תם 6,10803-50-1,לא ידוע,3,קרקע,53,"695,000 ₪"
17,2006,30/09/2003,טשרניחובסקי 43,10804-76-32,דירה בבית קומות,4,קומה 8,84.1,"1,064,000 ₪"
1,1960,15/08/2003,כל ישראל חברים 2,10803-63-1,דירה בבית קומות,3,קרקע,80.6,"808,000 ₪"
2,1960,27/07/2003,אמיל זולא 8,10803-24-8,דירה בבית קומות,2.5,ראשונה,50,"418,000 ₪"
2,1970,23/07/2003,כל ישראל חברים 19,10803-11-36,לא ידוע,3,שניה,56,"444,000 ₪"
2,1970,13/07/2003,סטפן וייז 29,10804-70-5,לא ידוע,4,שלישית,89.4,"1,046,000 ₪"
3,1960,29/06/2003,כל ישראל חברים 27,10803-18-0,לא ידוע,3,שניה,45,"368,000 ₪"
11,1987,24/06/2003,סטפן וייז 19,10804-40-17,דירה בבית קומות,5,שישית,116.45,"961,000 ₪"
7,1970,08/06/2003,סטפן וייז 1,10804-38-45,לא ידוע,4,רביעית,106.4,"749,000 ₪"
4,1960,25/05/2003,אדמונד פלג 36,10804-4-27,לא ידוע,4,שניה,66.33,"561,000 ₪"
2,1967,19/05/2003,פסטר לואי 16,10803-66-2,לא ידוע,4,"קרקע,ראשונה",103,"763,000 ₪"
2,1950,11/05/2003,כל ישראל חברים 45,10803-21-4,חנות,לא ידוע,קרקע,22.92,"107,000 ₪"
2,1960,10/03/2003,אמיל זולא 8,10803-24-6,לא ידוע,3,קרקע,56,"557,000 ₪"
3,1970,05/03/2003,טשרניחובסקי 47,10804-24-1,לא ידוע,5,ראשונה,86.6,"876,000 ₪"
2,1950,27/02/2003,אמיל זולא 14,10803-23-3,לא ידוע,2,קרקע,50,"169,000 ₪"
7,1970,19/02/2003,טשרניחובסקי 65,10804-89-36,לא ידוע,3,חמישית,60.5,"515,000 ₪"
17,2006,16/02/2003,טשרניחובסקי 43,10804-76-61,דירה בבית קומות,4,קומה 3,101.7,"1,250,000 ₪"
4,1960,10/02/2003,אדמונד פלג 42,10804-5-2,לא ידוע,3,ראשונה,50.38,"487,000 ₪"
1,1960,21/01/2003,לואי פסטר 22,10803-67-2,לא ידוע,4,קרקע,95,"1,146,000 ₪"
10,1980,16/01/2003,קאודרס 13,10804-53-36,לא ידוע,5,תשיעית,111.55,"950,000 ₪"
10,1980,08/07/1998,קאודרס 13,10804-53-36,לא ידוע,5,תשיעית,111.55,"989,000 ₪"
7,1970,02/12/2002,סטפן וייז 3,10804-38-76,לא ידוע,4,שניה,97.01,"752,000 ₪"
10,1980,28/09/2002,קאודרס 15,10804-105-0,לא ידוע,לא ידוע,לא ידוע,3549,"67,000 ₪"
2,1986,18/07/2002,סטפן וייז 33,10804-68-1,לא ידוע,5,קרקע + ראשונה,131.6,"1,211,000 ₪"
2,1960,17/07/2002,טשרניחובסקי 69,10804-102-4,חנות,לא ידוע,שניה,69.1,"582,000 ₪"
7,1970,23/06/2002,סטפן וייז 1,10804-38-47,לא ידוע,4.5,רביעית,106.2,"835,000 ₪"
2,1985,21/05/2002,אביגדור המאירי 6,10802-106-7,לא ידוע,5,קרקע,111.64,"1,388,000 ₪"
5,1970,15/05/2002,טשרניחובסקי 55,10804-86-4,לא ידוע,4,שניה,88.79,"636,000 ₪"
2,1960,08/05/2002,אמיל זולא 8,10803-24-18,לא ידוע,3,שניה,56,"513,000 ₪"
7,1960,08/04/2002,אדמונד פלג 12,10804-97-56,לא ידוע,3,שישית,74.17,"460,000 ₪"
7,1970,21/03/2002,סטפן וייז 3,10804-38-91,לא ידוע,4,חמישית,104.21,"774,000 ₪"
10,1980,07/03/2002,קאודרס 15,10804-105-33,לא ידוע,5,תשיעית,109.6,"819,000 ₪"
7,1960,20/02/2002,אדמונד פלג 14,10804-97-40,לא ידוע,3,רביעית,74.17,"673,000 ₪"
4,1960,15/01/2002,אדמונד פלג 28,10804-3-37,לא ידוע,4,שלישית,66.33,"292,000 ₪"
2,1960,02/01/2002,אמיל זולא 8,10803-24-12,לא ידוע,3,ראשונה,56,"510,000 ₪"
2,1960,06/09/2001,כל ישראל חברים 13,10803-11-43,לא ידוע,3,ראשונה,56,"115,000 ₪"
3,1999,04/09/2001,סטפן וייז 41,10804-64-4,לא ידוע,5,ראשונה,109.79,"1,065,000 ₪"
16,1980,24/08/2001,קאודרס 3,10804-74-55,לא ידוע,3,רביעית,80.58,"677,000 ₪"
2,1960,02/08/2001,כל ישראל חברים 13,10803-11-54,לא ידוע,3,שניה,56,"527,000 ₪"
4,1970,10/07/2001,אמיל זולא 38,10804-34-15,לא ידוע,5,"שלישית , רביעית",136.64,"1,153,000 ₪"
10,1980,03/07/2001,קאודרס 17,10804-52-33,לא ידוע,4,שמינית,108.86,"781,000 ₪"
5,1970,20/05/2001,טשרניחובסקי 59,10804-87-38,לא ידוע,4,חמישית,67.1,"496,000 ₪"
1,1960,21/03/2001,כל ישראל חברים 6,10803-47-1,לא ידוע,3,קרקע,67,"775,000 ₪"
2,1960,06/03/2001,טשרניחובסקי 69,10804-102-1,לא ידוע,לא ידוע,קרקע וראשונה,359.4,"976,000 ₪"
3,1960,19/01/2001,כל ישראל חברים 27,10803-18-13,לא ידוע,3,שניה,50,"499,000 ₪"
2,1970,17/01/2001,אדמונד פלג 23,10804-28-8,לא ידוע,4,שניה,88.15,"595,000 ₪"
11,1987,06/12/2000,סטפן וייז 19,10804-40-8,לא ידוע,5,רביעית,111.36,"1,114,000 ₪"
6,1960,22/11/2000,אדמונד פלג 6,10804-97-59,לא ידוע,3,שישית,74.17,"650,000 ₪"
10,1980,13/11/2000,קאודרס 13,10804-53-29,לא ידוע,4,שביעית,106.62,"740,000 ₪"
