קומות במבנה,שנת בנייה,תאריך עסקה,כתובת,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,"מ""ר",מחיר,שכונה,ריבית בנק ישראל
4.0,1960.0,2013-06-27,שקמה 12,11192-251-4,דירה בבית קומות,3,ראשונה,77,"1,095,000 ₪",רמת בן גוריון,0.03
4.0,1960.0,2009-01-29,שקמה 12,11192-251-4,דירה בבית קומות,3,ראשונה,77,"650,000 ₪",רמת בן גוריון,0.07
4.0,1960.0,2001-05-16,שקמה 12,11192-251-4,דירה בבית קומות,3,ראשונה,77,"684,000 ₪",רמת בן גוריון,0.07
5.0,1970.0,2019-03-20,אורן 9,11192-243-10,דירה בבית קומות,4,רביעית,83,"1,270,000 ₪",רמת בן גוריון,0.01
5.0,1970.0,2007-06-13,אורן 9,11192-243-10,דירה בבית קומות,4,רביעית,83,"579,000 ₪",רמת בן גוריון,0.07
5.0,1960.0,2019-03-20,אורן 11,11192-242-19,דירה בבית קומות,3,שלישית,77,"1,110,000 ₪",רמת בן גוריון,0.01
16.0,1970.0,2019-03-19,אורן 29,11192-316-49,דירה בבית קומות,3.5,עשירית,59.75,"975,000 ₪",רמת בן גוריון,0.01
6.0,1970.0,2019-03-14,הנטקה 39,11192-267-4,דירה בבית קומות,4,ראשונה,85.15,"1,160,000 ₪",רמת בן גוריון,0.01
12.0,1970.0,2019-03-07,אורן 31,11192-317-26,דירה בבית קומות,3,רביעית,62.25,"970,000 ₪",רמת בן גוריון,0.01
7.0,1960.0,2019-03-05,אורן 5,11192-245-22,דירה בבית קומות,4,שלישית,77,"847,000 ₪",רמת בן גוריון,0.01
13.0,1960.0,2019-02-10,אורן 35,11192-319-72,דירה בבית קומות,3,אחת עשרה,58.95,"1,040,000 ₪",רמת בן גוריון,0.01
13.0,1970.0,2019-02-07,הפרחים 11,11192-270-14,דירה בבית קומות,3,שלישית,61.21,"850,000 ₪",רמת בן גוריון,0.01
13.0,1970.0,2011-11-16,הפרחים 11,11192-270-14,דירה בבית קומות,3,שלישית,61.21,"620,000 ₪",רמת בן גוריון,0.03
13.0,1970.0,2009-04-16,הפרחים 11,11192-270-14,דירה בבית קומות,3,שלישית,61.21,"500,000 ₪",רמת בן גוריון,0.07
3.0,1983.0,2019-02-06,"זלמן שז""ר 14",11192-162-6,דירה בבית קומות,4,שלישית,97.2,"1,500,000 ₪",רמת בן גוריון,0.01
15.0,1960.0,2019-02-05,הפרחים 1,11192-274-52,דירה בבית קומות,3,תשיעית,51,"892,000 ₪",רמת בן גוריון,0.01
12.0,1970.0,2019-01-21,אורן 31,11192-317-3,דירה בבית קומות,3,קרקע 1 א',59.25,"945,000 ₪",רמת בן גוריון,0.01
12.0,1970.0,2019-01-20,אורן 31,11192-317-5,דירה בבית קומות,3.5,קרקע 1,56.75,"980,000 ₪",רמת בן גוריון,0.01
12.0,1970.0,1999-10-24,אורן 31,11192-317-5,דירה בבית קומות,3.5,קרקע 1,56.75,"491,000 ₪",רמת בן גוריון,0.15
13.0,1970.0,2019-01-14,הפרחים 9,11192-271-58,דירה בבית קומות,3,עשירית,61.3,"850,000 ₪",רמת בן גוריון,0.01
6.0,1960.0,2019-01-08,אורן 19,11192-238-9,דירה בבית קומות,3,רביעית,70,"1,150,000 ₪",רמת בן גוריון,0.01
6.0,1960.0,2014-04-06,אורן 19,11192-238-9,דירה בבית קומות,3,רביעית,70,"920,000 ₪",רמת בן גוריון,0.03
6.0,1960.0,2010-01-26,אורן 19,11192-238-9,דירה בבית קומות,3,רביעית,70,"700,000 ₪",רמת בן גוריון,0.03
3.0,1983.0,2018-12-17,מרטין בובר 5,11192-182-4,דירה בבית קומות,4,שניה,104.69,"1,429,000 ₪",רמת בן גוריון,0.01
10.0,1980.0,2018-12-07,מרטין בובר 22,11192-195-2,דירה בבית קומות,4,שניה שלישית,86.1,"1,900,000 ₪",רמת בן גוריון,0.01
10.0,1980.0,2011-05-04,מרטין בובר 22,11192-195-2,דירה בבית קומות,4,שניה שלישית,86.1,"1,270,000 ₪",רמת בן גוריון,0.03
13.0,1960.0,2018-11-21,אורן 35,11192-319-14,דירה בבית קומות,3,שלישית,62.5,"1,010,100 ₪",רמת בן גוריון,0.01
4.0,1985.0,2018-11-20,הצוללת דקר 3,11192-177-7,דירה בבית קומות,4,שלישית,104.8,"1,450,000 ₪",רמת בן גוריון,0.01
4.0,1985.0,2012-05-31,הצוללת דקר 3,11192-177-7,דירה בבית קומות,4,שלישית,104.8,"1,400,000 ₪",רמת בן גוריון,0.03
13.0,1970.0,2018-11-18,הפרחים 9,11192-271-21,דירה בבית קומות,3,רביעית,59.23,"1,030,000 ₪",רמת בן גוריון,0.01
12.0,1970.0,2018-11-07,אורן 31,11192-317-46,דירה בבית קומות,3,שביעית,59.25,"940,000 ₪",רמת בן גוריון,0.01
22.0,1970.0,2018-10-25,אורן 23,11192-345-91,דירה בבית קומות,3,שש עשרה,88.86,"1,262,600 ₪",רמת בן גוריון,0.01
22.0,1970.0,2006-11-26,אורן 23,11192-345-91,דירה בבית קומות,3,שש עשרה,88.86,"644,000 ₪",רמת בן גוריון,0.07
14.0,1960.0,2018-10-21,הפרחים 5,11192-288-28,דירה בבית קומות,3,חמישית,51,"850,000 ₪",רמת בן גוריון,0.01
16.0,1970.0,2018-09-25,אורן 29,11192-316-85,דירה בבית קומות,3,שש עשרה,56.75,"975,000 ₪",רמת בן גוריון,0.01
16.0,1970.0,2013-03-24,אורן 29,11192-316-85,דירה בבית קומות,3,שש עשרה,56.75,"889,000 ₪",רמת בן גוריון,0.03
22.0,1970.0,2018-09-21,אורן 23,11192-345-105,דירה בבית קומות,3,שמונה עשרה,88.86,"1,145,000 ₪",רמת בן גוריון,0.01
15.0,1960.0,2018-09-03,הפרחים 1,11192-274-68,דירה בבית קומות,3.5,שתים עשרה,54,"910,000 ₪",רמת בן גוריון,0.01
14.0,1970.0,2018-08-19,הפרחים 3,11192-273-67,דירה בבית קומות,3,שתים עשרה,52,"960,000 ₪",רמת בן גוריון,0.01
14.0,1970.0,2001-03-09,הפרחים 3,11192-273-67,דירה בבית קומות,3,שתים עשרה,52,"515,000 ₪",רמת בן גוריון,0.07
2.0,1993.0,2018-08-19,הצוללת דקר 5,11192-176-1,דירה בבית קומות,5,קרקע,106.41,"1,970,000 ₪",רמת בן גוריון,0.01
13.0,1970.0,2018-08-12,הפרחים 9,11192-271-2,דירה בבית קומות,4,ביניים,81.75,"1,000,000 ₪",רמת בן גוריון,0.01
3.0,1970.0,2018-08-02,אורן 25,11192-334-23,חנות,לא ידוע,ראשונה,35.6,"416,000 ₪",רמת בן גוריון,0.01
13.0,1970.0,2018-07-29,הפרחים 9,11192-271-30,דירה בבית קומות,3,חמישית,57.5,"1,000,000 ₪",רמת בן גוריון,0.01
3.0,1994.0,2018-07-26,"זלמן שז""ר 19",11192-152-4,דירה בבית קומות,4.5,ראשונה,94.89,"1,705,000 ₪",רמת בן גוריון,0.01
3.0,1994.0,2009-09-24,"זלמן שז""ר 19",11192-152-4,דירה בבית קומות,4.5,ראשונה,94.89,"1,150,000 ₪",רמת בן גוריון,0.07
3.0,1994.0,2007-12-19,"זלמן שז""ר 19",11192-152-4,דירה בבית קומות,4.5,ראשונה,94.89,"837,000 ₪",רמת בן גוריון,0.07
3.0,1994.0,2000-10-02,"זלמן שז""ר 19",11192-152-4,דירה בבית קומות,4.5,ראשונה,94.89,"887,000 ₪",רמת בן גוריון,0.07
4.0,1960.0,2018-07-15,אורן 14,11192-266-9,דירה בבית קומות,3,שניה,58,"1,015,000 ₪",רמת בן גוריון,0.01
4.0,1960.0,1998-07-13,אורן 14,11192-266-9,דירה בבית קומות,3,שניה,58,"531,000 ₪",רמת בן גוריון,0.15
7.0,1970.0,2018-07-12,הנטקה 43,11192-269-5,דירה בבית קומות,4,שניה,102.33,"1,100,000 ₪",רמת בן גוריון,0.01
1.0,1990.0,2018-07-09,הצוללת דקר 7,11192-175-2,דירה בבית קומות,5,"מרתף,קרקע,ראשונה",159.37,"2,020,000 ₪",רמת בן גוריון,0.01
13.0,1970.0,2018-07-09,הפרחים 11,11192-270-36,דירה בבית קומות,3,שביעית,57.5,"920,000 ₪",רמת בן גוריון,0.01
4.0,1980.0,2018-07-05,שקמה 4,11192-249-6,דירה בבית קומות,3,שניה,63,"1,023,000 ₪",רמת בן גוריון,0.01
4.0,1980.0,2008-11-11,שקמה 4,11192-249-6,דירה בבית קומות,3,שניה,63,"380,000 ₪",רמת בן גוריון,0.07
4.0,1960.0,2018-07-03,שקמה 12,11192-251-1,דירה בבית קומות,3,ראשונה,77,"1,050,000 ₪",רמת בן גוריון,0.01
4.0,1960.0,2004-12-16,שקמה 12,11192-251-1,דירה בבית קומות,3,ראשונה,77,"505,000 ₪",רמת בן גוריון,0.07
4.0,1960.0,2018-06-18,צבר 5,11192-247-5,דירה בבית קומות,3,שניה,77,"1,048,500 ₪",רמת בן גוריון,0.01
12.0,1970.0,2018-06-14,אורן 31,11192-317-52,דירה בבית קומות,3,שמינית,59.25,"980,000 ₪",רמת בן גוריון,0.01
14.0,1960.0,2018-06-12,הפרחים 5,11192-288-2,דירה בבית קומות,2,ראשונה,54,"975,000 ₪",רמת בן גוריון,0.01
4.0,1960.0,2018-06-08,שקמה 12,11192-251-15,דירה בבית קומות,3,רביעית,63,"950,000 ₪",רמת בן גוריון,0.01
